epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3725,1.19137,3.75429,1.46325,0.57891,0.13375,0.19591,0.15295,0.86594,3.51142,1.19082,0.00018564,0.00018564,0.00018564
2,112.557,1.02002,2.77922,1.32974,0.56514,0.37572,0.29153,0.2345,0.88609,3.48862,1.20464,0.000370927,0.000370927,0.000370927
3,168.66,1.03141,2.29378,1.34875,0.50195,0.48273,0.37589,0.27716,0.89885,2.89362,1.22731,0.00054858,0.00054858,0.00054858
4,222.544,1.00509,2.23241,1.30905,0.50195,0.48273,0.37589,0.27716,0.89885,2.89362,1.22731,0.000671588,0.000671588,0.000671588
5,276.685,1.0654,2.1407,1.32801,0.46109,0.52487,0.46545,0.34239,0.92714,2.24867,1.23139,0.000657451,0.000657451,0.000657451
6,328.82,1.02264,2.00403,1.26694,0.59368,0.51209,0.46275,0.32549,0.94569,2.06397,1.13541,0.000643314,0.000643314,0.000643314
7,379.776,1.04868,1.89578,1.26749,0.69114,0.47625,0.60511,0.44724,0.88431,1.74625,1.11646,0.000629177,0.000629177,0.000629177
8,430.145,0.97297,1.76206,1.2262,0.64667,0.65594,0.67635,0.49562,0.86748,1.6388,1.10411,0.00061504,0.00061504,0.00061504
9,482.069,0.96826,1.72022,1.23569,0.61541,0.7204,0.66909,0.4905,0.85356,1.61514,1.10162,0.000600902,0.000600902,0.000600902
10,533.525,0.92021,1.59505,1.17487,0.61541,0.7204,0.66909,0.4905,0.85356,1.61514,1.10162,0.000586765,0.000586765,0.000586765
11,580.532,0.89247,1.4389,1.15541,0.71375,0.56613,0.65714,0.5104,0.83773,1.41035,1.09705,0.000572628,0.000572628,0.000572628
12,628.983,0.96828,1.45104,1.2126,0.72222,0.57782,0.67281,0.51047,0.8348,1.27102,1.08723,0.000558491,0.000558491,0.000558491
13,679.396,0.87727,1.3482,1.12853,0.598,0.62861,0.66211,0.50536,0.84771,1.37073,1.08771,0.000544354,0.000544354,0.000544354
14,737.272,0.91681,1.37946,1.16733,0.77608,0.58929,0.69852,0.5155,0.84457,1.27606,1.10327,0.000530216,0.000530216,0.000530216
15,800.15,0.87271,1.35466,1.15813,0.72285,0.64293,0.67831,0.497,0.86492,1.25219,1.127,0.000516079,0.000516079,0.000516079
16,857.747,0.85853,1.24971,1.14516,0.68912,0.61603,0.68879,0.51597,0.84199,1.24102,1.11231,0.000501942,0.000501942,0.000501942
17,912.452,0.86308,1.20131,1.1237,0.68912,0.61603,0.68879,0.51597,0.84199,1.24102,1.11231,0.000487805,0.000487805,0.000487805
18,962.878,0.77285,1.08608,1.08271,0.72436,0.57294,0.69829,0.53936,0.83087,1.2182,1.08266,0.000473668,0.000473668,0.000473668
