epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4144,1.26708,4.02248,1.48076,0.11168,0.30778,0.18994,0.15468,0.83116,3.30658,1.1729,0.00018564,0.00018564,0.00018564
2,119.921,1.02696,2.8816,1.34798,0.57568,0.31998,0.32469,0.26728,0.77208,2.89163,1.08463,0.000340956,0.000340956,0.000340956
3,177.408,0.98122,2.22699,1.2557,0.6232,0.44609,0.43886,0.34298,0.84413,2.40662,1.12951,0.000458102,0.000458102,0.000458102
4,232.023,0.97489,2.11307,1.23141,0.6232,0.44609,0.43886,0.34298,0.84413,2.40662,1.12951,0.000501942,0.000501942,0.000501942
5,291.804,0.9704,1.9793,1.23036,0.67499,0.48098,0.47586,0.35749,0.79995,2.01253,1.10059,0.000431256,0.000431256,0.000431256
6,359.361,0.94507,1.89477,1.23919,0.63958,0.46084,0.48875,0.37156,0.80225,1.89345,1.09231,0.00036057,0.00036057,0.00036057
7,428.188,0.85489,1.69745,1.14418,0.65179,0.5019,0.5965,0.44137,0.83063,1.62124,1.09083,0.000289884,0.000289884,0.000289884
8,503.061,0.88488,1.60038,1.1619,0.57309,0.55838,0.60776,0.45171,0.80688,1.53327,1.08039,0.000219198,0.000219198,0.000219198
9,552.154,0.81565,1.52159,1.13281,0.6175,0.53665,0.61677,0.47064,0.79231,1.5,1.06789,0.000148512,0.000148512,0.000148512
10,605.263,0.83783,1.46334,1.14356,0.6175,0.53665,0.61677,0.47064,0.79231,1.5,1.06789,7.7826e-05,7.7826e-05,7.7826e-05
